"id","id_rollup_psss","bt","k","delta_00","sigma2_u","sigma2_v","psss","rej_pet_slope","rej_pet_int","bias_pet_int","mse_pet_int","rej_peese_slope","rej_peese_int","bias_peese_int","mse_peese_int","rej_pet_st_slope","rej_pet_st_int","bias_pet_st_int","mse_pet_st_int","rej_peese_st_slope","rej_peese_st_int","bias_peese_st_int","mse_peese_st_int","bias_corrected_smd","mse_corrected_smd","bias_corrected_st_smd","mse_corrected_st_smd","bias_corrected_smd_subset","mse_corrected_smd_subset","bias_corrected_st_smd_subset","mse_corrected_st_smd_subset","subset_size","k_cat","sigma2_u_cat","sigma2_v_cat"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.01_small","pb_no_orb_no_k_15_d0.00_su0.01_sv0.01","pb_no_orb_no",15,0,0.01,0.01,"small",0.0468909276248726,0.0428134556574924,-0.000597093102509973,0.0840810075066852,0.0468431771894094,0.0427698574338086,-0.000783565298564637,0.0229405575046686,0.0370741482965932,0.0440881763527054,-0.00235404331585085,0.082489103363192,0.034034034034034,0.042042042042042,-0.00184393347142887,0.0224576884934257,-0.0122575036612783,0.0732123412154719,-0.0127639912462951,0.0726028273414965,-0.190778346666871,0.292712815159799,-0.183763440360765,0.280093153125454,65,"small","small","small"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.06_small","pb_no_orb_no_k_15_d0.00_su0.01_sv0.06","pb_no_orb_no",15,0,0.01,0.06,"small",0.0510510510510511,0.037037037037037,0.00112114434341445,0.111870024552468,0.0511022044088176,0.0420841683366733,-0.000201661943311656,0.0305732070145483,0.0331991951710262,0.03420523138833,-0.000368505689010903,0.110409494412298,0.034136546184739,0.035140562248996,-0.00152721932352458,0.0299447507932532,-0.0131285734519885,0.0965455225337503,-0.0142710868187285,0.0956241639478899,-0.179123552860694,0.367254587133911,-0.169381833513064,0.364303655796071,52,"small","small","medium"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.11_small","pb_no_orb_no_k_15_d0.00_su0.01_sv0.11","pb_no_orb_no",15,0,0.01,0.11,"small",0.054,0.034,0.0044690872689274,0.14167924092393,0.058,0.033,0.000799836955108759,0.0387082092485946,0.032064128256513,0.031062124248497,0.00352533870692283,0.134874408547029,0.033099297893681,0.0250752256770311,-0.00101536204723014,0.037678413601538,-0.0128760804873931,0.12046710457722,-0.0120458846708536,0.116397577802167,-0.113647381753097,0.411831193001652,-0.0550979880166866,0.335748123673847,54,"small","small","large"
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.01_small","pb_no_orb_no_k_15_d0.00_su0.06_sv0.01","pb_no_orb_no",15,0,0.06,0.01,"small",0.078,0.06,-0.0117015519351887,0.185982182092384,0.08,0.056,-0.00578492920214381,0.0511695131958427,0.057,0.054,-0.0100209343719002,0.181884206377837,0.0550550550550551,0.0550550550550551,-0.00476291595632811,0.049454153516105,-0.0321376693693851,0.157092373043118,-0.0308554520910412,0.15276048159956,-0.245607041714731,0.557182928932735,-0.224097951096689,0.516053519587011,78,"small","medium","small"
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.06_small","pb_no_orb_no_k_15_d0.00_su0.06_sv0.06","pb_no_orb_no",15,0,0.06,0.06,"small",0.078,0.06,-0.00707953924431966,0.214232812664085,0.077,0.059,-0.00398732715705249,0.0589630418913527,0.059,0.056,-0.00706636307222954,0.208148872970157,0.0540540540540541,0.0570570570570571,-0.00339857808528839,0.0565557207435211,-0.0291767027555235,0.181139588771528,-0.0289757002194966,0.174488198991501,-0.295264957850842,0.637671260853614,-0.264399380441731,0.569507714294921,78,"small","medium","medium"
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.11_small","pb_no_orb_no_k_15_d0.00_su0.06_sv0.11","pb_no_orb_no",15,0,0.06,0.11,"small",0.078,0.059,-0.00495252934363683,0.244702189099151,0.081,0.056,-0.00330282479795186,0.0673155138868654,0.0501504513540622,0.0501504513540622,-0.00608026792665271,0.23632848972185,0.047047047047047,0.0530530530530531,-0.00304262418212425,0.0639396489696542,-0.0303220610488457,0.204657252752211,-0.0295404357099083,0.197911425527922,-0.295257600989745,0.716801237537682,-0.235923955458111,0.652765890104452,78,"small","medium","large"
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.01_small","pb_no_orb_no_k_15_d0.00_su0.11_sv0.01","pb_no_orb_no",15,0,0.11,0.01,"small",0.081,0.06,-0.0173858256619177,0.290134352471255,0.086,0.057,-0.00840685923053088,0.0795124579682115,0.057,0.055,-0.0140805158762258,0.280503273172116,0.0510510510510511,0.0540540540540541,-0.00568299511897982,0.0757298796064635,-0.0432127873658207,0.244693114808396,-0.0376092288736824,0.23795357751606,-0.301352354911185,0.850062897179485,-0.249900573654329,0.788381262075292,81,"small","large","small"
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.06_small","pb_no_orb_no_k_15_d0.00_su0.11_sv0.06","pb_no_orb_no",15,0,0.11,0.06,"small",0.082,0.063,-0.0126277045265325,0.323702362438231,0.095,0.062,-0.00650271550359577,0.088739625747006,0.056,0.051,-0.011204134335642,0.306897410225095,0.054,0.058,-0.00518261482228166,0.082758052737687,-0.0404254578112256,0.270752636388039,-0.0366014612018789,0.258203777507936,-0.292261813877842,0.944320469803909,-0.231157843794608,0.816636295509869,82,"small","large","medium"
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.11_small","pb_no_orb_no_k_15_d0.00_su0.11_sv0.11","pb_no_orb_no",15,0,0.11,0.11,"small",0.087,0.058,-0.0107822593547467,0.358672939298065,0.096,0.061,-0.00592054866398545,0.098187017007785,0.0500500500500501,0.0520520520520521,-0.00908937190935077,0.334464351456407,0.051,0.052,-0.00482234779501531,0.0900175637929942,-0.0418386548987745,0.296747517143459,-0.0361769594867207,0.279699995581645,-0.31298388275447,1.01325011921571,-0.237194313069782,0.88966574966131,87,"small","large","large"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.01_medium","pb_no_orb_no_k_15_d0.00_su0.01_sv0.01","pb_no_orb_no",15,0,0.01,0.01,"medium",0.0682046138415246,0.0591775325977934,-0.00350104612670098,0.0453045695879497,0.0692771084337349,0.0632530120481928,-0.00225333293993902,0.0124949860756093,0.0540540540540541,0.0610610610610611,-0.00287309274789205,0.0452453836474298,0.045,0.065,-0.00200785456510626,0.0124473892260352,-0.0139258170895309,0.0381571110003942,-0.0139092324504413,0.0376335524046939,-0.104060607144438,0.131613366303501,-0.103949989731173,0.129275501151677,71,"small","small","small"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.06_medium","pb_no_orb_no_k_15_d0.00_su0.01_sv0.06","pb_no_orb_no",15,0,0.01,0.06,"medium",0.054,0.045,-0.0104002248010896,0.0711633401798636,0.059,0.043,-0.00604695686297717,0.0198770364366044,0.042,0.043,-0.0095742360065726,0.0706703280670554,0.037,0.043,-0.00549297134446546,0.0197360635043417,-0.0230282338698685,0.0595830677247488,-0.0222108550309204,0.0590367590481902,-0.180831518473646,0.252571309308233,-0.179547725236153,0.244895577725539,54,"small","small","medium"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.11_medium","pb_no_orb_no_k_15_d0.00_su0.01_sv0.11","pb_no_orb_no",15,0,0.01,0.11,"medium",0.053,0.037,-0.0144499255874837,0.0973545660448932,0.058,0.04,-0.00822706201131041,0.0272954804787271,0.037037037037037,0.032032032032032,-0.0140222217386564,0.0959267468841398,0.035,0.037,-0.00755309480111868,0.0269488160910881,-0.0276727133420556,0.0827691834776234,-0.0269424669419516,0.0816779037964101,-0.205706991213071,0.350098747374577,-0.196521742339385,0.337849724381856,53,"small","small","large"
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.01_medium","pb_no_orb_no_k_15_d0.00_su0.06_sv0.01","pb_no_orb_no",15,0,0.06,0.01,"medium",0.084,0.058,-0.0038343788986096,0.130147743910294,0.0870870870870871,0.0630630630630631,-0.00267481575028185,0.0365042732918708,0.055,0.055,-0.000391763844265242,0.132222888953606,0.059,0.06,-0.000926005575156947,0.0367159206400026,-0.0234312448100687,0.10791946875647,-0.0206102739588148,0.108956330630756,-0.214402520419264,0.358296769620039,-0.201277433850809,0.35645978240555,84,"small","medium","small"
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.06_medium","pb_no_orb_no_k_15_d0.00_su0.06_sv0.06","pb_no_orb_no",15,0,0.06,0.06,"medium",0.079,0.059,-0.0104927313769822,0.156092912631914,0.078,0.061,-0.00629439906269468,0.0436135154565271,0.052,0.056,-0.00683840077031186,0.15692826921222,0.052,0.054,-0.00424428352260629,0.043623182961676,-0.030465266145861,0.130374854706482,-0.0260029445242486,0.131680176091884,-0.204427490225145,0.444977959630933,-0.177532326390478,0.433767112189352,79,"small","medium","medium"
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.11_medium","pb_no_orb_no_k_15_d0.00_su0.06_sv0.11","pb_no_orb_no",15,0,0.06,0.11,"medium",0.07,0.058,-0.0144467044816394,0.182240845076539,0.078,0.055,-0.00840957607210091,0.0508083544987844,0.05,0.049,-0.0108065818107488,0.181733085601815,0.049049049049049,0.0530530530530531,-0.0060999610776234,0.0505446641529675,-0.035354545602732,0.152207617006921,-0.0307836458151722,0.15305472497809,-0.208785984281432,0.556058103571516,-0.195917723418347,0.525726339534244,70,"small","medium","large"
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.01_medium","pb_no_orb_no_k_15_d0.00_su0.11_sv0.01","pb_no_orb_no",15,0,0.11,0.01,"medium",0.081,0.063,-0.00562442717705746,0.214003541156518,0.0920920920920921,0.0610610610610611,-0.00359560500447693,0.0599768072453837,0.059,0.062,0.00113842908855612,0.217438803887767,0.059,0.058,-0.000243661331476796,0.0602096477348329,-0.0298964228567508,0.179324677158676,-0.0240341569247495,0.179907104582679,-0.244369720404417,0.573467020145377,-0.215771945858255,0.541372774605896,81,"small","large","small"
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.06_medium","pb_no_orb_no_k_15_d0.00_su0.11_sv0.06","pb_no_orb_no",15,0,0.11,0.06,"medium",0.086,0.065,-0.0118770359480958,0.242415974364639,0.094,0.063,-0.00716145173611846,0.0674260780806689,0.061,0.063,-0.00527202607578371,0.242043871440857,0.059,0.055,-0.00354586330865617,0.0669306432421507,-0.0375004207922275,0.201593997720859,-0.0296640020478022,0.202926936213593,-0.274371657554507,0.670927166160333,-0.231001170632744,0.606824855291095,86,"small","large","medium"
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.11_medium","pb_no_orb_no_k_15_d0.00_su0.11_sv0.11","pb_no_orb_no",15,0,0.11,0.11,"medium",0.086,0.061,-0.015384501315254,0.269761126041001,0.1,0.056,-0.00907210469604995,0.0746904533814229,0.058,0.054,-0.0092002142878114,0.266818765745821,0.057,0.055,-0.00556330152171517,0.073691306819877,-0.0425731806618593,0.222933118443927,-0.0344134353859268,0.223919132362785,-0.290700642940054,0.783770604381939,-0.261009223609757,0.725961213934831,86,"small","large","large"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.01_large","pb_no_orb_no_k_15_d0.00_su0.01_sv0.01","pb_no_orb_no",15,0,0.01,0.01,"large",0.071,0.047,-0.0128759907618154,0.0363142797553494,0.0740740740740741,0.043043043043043,-0.00559021928360016,0.00979759735580971,0.052,0.047,-0.0128092574989747,0.0358256517975425,0.05,0.04,-0.00540032718549362,0.00960357858578284,-0.0213681310761664,0.0310577509100427,-0.0203823750766379,0.0310821977690456,-0.172591862592094,0.12718828046414,-0.166166094712937,0.126999554130709,71,"small","small","small"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.06_large","pb_no_orb_no_k_15_d0.00_su0.01_sv0.06","pb_no_orb_no",15,0,0.01,0.06,"large",0.06,0.039,-0.0134542822827947,0.0614784769877061,0.064,0.035,-0.00566672083487781,0.0169104911901674,0.041,0.036,-0.0130926006816753,0.0600892707080314,0.045,0.034,-0.00517825411459098,0.0164145658051918,-0.0234099785586151,0.0532357011861891,-0.0221535221820613,0.0525293004317562,-0.211835961506049,0.216331325290448,-0.205090318241339,0.209845118098528,60,"small","small","medium"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.11_large","pb_no_orb_no_k_15_d0.00_su0.01_sv0.11","pb_no_orb_no",15,0,0.01,0.11,"large",0.056,0.039,-0.0138346507844378,0.0871368681378073,0.064,0.037,-0.00575239770920731,0.0241359381314441,0.041041041041041,0.035035035035035,-0.0133559214488852,0.0843229388075213,0.042042042042042,0.039039039039039,-0.00499501996950456,0.0231763386058188,-0.0259717953840822,0.0753120449062059,-0.0254818388173068,0.0725710878452738,-0.240588042664187,0.308583773818928,-0.233691675027325,0.294806615977018,56,"small","small","large"
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.01_large","pb_no_orb_no_k_15_d0.00_su0.06_sv0.01","pb_no_orb_no",15,0,0.06,0.01,"large",0.0700700700700701,0.0520520520520521,-0.0182459640393006,0.115631912511983,0.08,0.057,-0.00770181236019254,0.0317701890503657,0.046,0.045,-0.0178851117728332,0.111917834075535,0.044,0.051,-0.00702801931266314,0.0304576742317936,-0.0325150132821012,0.0995040555564421,-0.0325076897915921,0.0953166580917491,-0.264348329864702,0.40914820777108,-0.251122002539413,0.403606637032924,71,"small","medium","small"
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.06_large","pb_no_orb_no_k_15_d0.00_su0.06_sv0.06","pb_no_orb_no",15,0,0.06,0.06,"large",0.08,0.054,-0.0189642746107587,0.142472700672337,0.092,0.052,-0.00817012907996128,0.0392773319559062,0.048,0.044,-0.0185125595781446,0.13637388000745,0.05,0.045,-0.00710917839147473,0.0371353966000287,-0.0354662077600995,0.121843639233778,-0.0351155856105296,0.115612465983876,-0.260428183163764,0.451717679434206,-0.243954134320728,0.429056704421912,80,"small","medium","medium"
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.11_large","pb_no_orb_no_k_15_d0.00_su0.06_sv0.11","pb_no_orb_no",15,0,0.06,0.11,"large",0.079,0.054,-0.019514468759084,0.169560701251685,0.088,0.054,-0.00840512810396971,0.0468419062711937,0.046,0.044,-0.0187025151762188,0.160527687960648,0.05,0.046,-0.00704924296899718,0.0437361199460633,-0.0371253854914887,0.145179160779029,-0.0363287219030099,0.13667067247655,-0.272747434149022,0.532530762250425,-0.255183154389657,0.490231814793925,79,"small","medium","large"
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.01_large","pb_no_orb_no_k_15_d0.00_su0.11_sv0.01","pb_no_orb_no",15,0,0.11,0.01,"large",0.073,0.056,-0.0208537173325418,0.1988515892623,0.0911823647294589,0.06312625250501,-0.00902156670954868,0.0544193516257045,0.048,0.046,-0.0211547188586451,0.188505455867996,0.049,0.055,-0.00813166629574063,0.0512205866879855,-0.0395100855944226,0.172161827866094,-0.0412150959243712,0.159315727254122,-0.355745292668712,0.67895247938091,-0.32987651031911,0.655464922720151,73,"small","large","small"
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.06_large","pb_no_orb_no_k_15_d0.00_su0.11_sv0.06","pb_no_orb_no",15,0,0.11,0.06,"large",0.084,0.056,-0.021877462960177,0.228143447261547,0.1,0.063,-0.00966695793791416,0.0628034896731031,0.053,0.049,-0.0217017966559118,0.213043559152456,0.051,0.052,-0.00821033831971312,0.0577643937483035,-0.0436237836955383,0.194099851351599,-0.0439409513885873,0.178330898876288,-0.349532152302702,0.726071146602812,-0.305984346078959,0.676416057427575,84,"small","large","medium"
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.11_large","pb_no_orb_no_k_15_d0.00_su0.11_sv0.11","pb_no_orb_no",15,0,0.11,0.11,"large",0.09,0.064,-0.0225478110593575,0.25728434116147,0.101,0.067,-0.00997146125215201,0.070828137027522,0.049,0.046,-0.0219355644039932,0.237300731765033,0.053,0.048,-0.00819586702082037,0.0642484903902896,-0.0468871873142599,0.216891810268274,-0.0448815385765593,0.199271977266615,-0.325101686843882,0.761863998369245,-0.276026534841022,0.699428692612651,90,"small","large","large"
"pb_no_orb_no_k_15_d0.20_su0.01_sv0.01_small","pb_no_orb_no_k_15_d0.20_su0.01_sv0.01","pb_no_orb_no",15,0.2,0.01,0.01,"small",0.0587639311043566,0.0618034447821682,-0.076505966836139,0.0920242776007309,0.0527918781725888,0.173604060913706,-0.0436247263525563,0.025164220255525,0.034136546184739,0.0873493975903614,-4.20456750155063e-05,0.0795708906691852,0.034,0.23,-0.00162381244316803,0.0224389999516123,-0.0969510350854457,0.0785957397197095,-0.0298474325384003,0.0578142383078278,-0.374238616177292,0.380155715057171,-0.293522343617045,0.268384284118154,71,"small","small","small"
"pb_no_orb_no_k_15_d0.20_su0.01_sv0.06_small","pb_no_orb_no_k_15_d0.20_su0.01_sv0.06","pb_no_orb_no",15,0.2,0.01,0.06,"small",0.0580580580580581,0.048048048048048,-0.110010788877455,0.127626028443558,0.06312625250501,0.114228456913828,-0.0618336177141315,0.0351776555746058,0.033033033033033,0.0710710710710711,0.00192106769721606,0.110228910580701,0.033099297893681,0.167502507522568,-0.00195373891298312,0.0299181354499367,-0.128619387897582,0.112350513208385,-0.029504915381395,0.0831463677860604,-0.485382336427745,0.53637627093035,-0.406092049734859,0.42605222464342,59,"small","small","medium"
"pb_no_orb_no_k_15_d0.20_su0.01_sv0.11_small","pb_no_orb_no_k_15_d0.20_su0.01_sv0.11","pb_no_orb_no",15,0.2,0.01,0.11,"small",0.066,0.049,-0.138988441159834,0.166721959386897,0.072,0.071,-0.0768420961543391,0.0460477230883974,0.033099297893681,0.0601805416248746,0.00217571037637015,0.139076662837821,0.0342396777442095,0.132930513595166,-0.00166772199444554,0.0377836285756512,-0.156899831716214,0.149724053225046,-0.0287601821312198,0.107198022918632,-0.578627397216616,0.651989402830908,-0.461202273314983,0.483251430956834,66,"small","small","large"
"pb_no_orb_no_k_15_d0.20_su0.06_sv0.01_small","pb_no_orb_no_k_15_d0.20_su0.06_sv0.01","pb_no_orb_no",15,0.2,0.06,0.01,"small",0.0952858575727182,0.0621865596790371,-0.160754651498689,0.216589443252651,0.0970970970970971,0.104104104104104,-0.0854176090891152,0.0596065334368927,0.0560560560560561,0.0850850850850851,-0.00853595812548893,0.181866852534284,0.055,0.142,-0.00455527527036426,0.0494802430396936,-0.183943621491725,0.191020649040303,-0.0456390401692042,0.138462671246308,-0.593829454736799,0.774489989129743,-0.461802246194401,0.554063415756984,98,"small","medium","small"
"pb_no_orb_no_k_15_d0.20_su0.06_sv0.06_small","pb_no_orb_no_k_15_d0.20_su0.06_sv0.06","pb_no_orb_no",15,0.2,0.06,0.06,"small",0.091,0.065,-0.192950688010242,0.260946824510783,0.096,0.085,-0.103060771578144,0.0718059727284776,0.0561122244488978,0.0691382765531062,-0.00448924956606891,0.207946333209121,0.0530530530530531,0.116116116116116,-0.00425569485232424,0.0566885415184104,-0.214689449359283,0.234431823866956,-0.0419809915213202,0.159153964479047,-0.660170705197435,0.959628387773078,-0.475991003490273,0.622701936369053,91,"small","medium","medium"
"pb_no_orb_no_k_15_d0.20_su0.06_sv0.11_small","pb_no_orb_no_k_15_d0.20_su0.06_sv0.11","pb_no_orb_no",15,0.2,0.06,0.11,"small",0.095,0.059,-0.220696168340897,0.308627340407901,0.098,0.073,-0.117800483825605,0.0848040086304179,0.049,0.064,-0.00420435647052708,0.235867374250659,0.047047047047047,0.111111111111111,-0.00441542376602505,0.0641074569796803,-0.242446751094515,0.279992968106129,-0.0436256948447144,0.180501562387544,-0.768431665606793,1.15013481766458,-0.535780854190389,0.696405487296109,95,"small","medium","large"
"pb_no_orb_no_k_15_d0.20_su0.11_sv0.01_small","pb_no_orb_no_k_15_d0.20_su0.11_sv0.01","pb_no_orb_no",15,0.2,0.11,0.01,"small",0.109,0.057,-0.235593803655138,0.354908355561197,0.116,0.08,-0.123693745793729,0.0968056155925855,0.0570570570570571,0.0680680680680681,-0.0115549646039342,0.280851699853234,0.05,0.11,-0.00619463643595847,0.0757679326986191,-0.258660313858719,0.321373772747951,-0.0533785177681931,0.217515022684218,-0.786586498247089,1.27462183211789,-0.554481667467537,0.789350032669243,109,"small","large","small"
"pb_no_orb_no_k_15_d0.20_su0.11_sv0.06_small","pb_no_orb_no_k_15_d0.20_su0.11_sv0.06","pb_no_orb_no",15,0.2,0.11,0.06,"small",0.121,0.066,-0.273640546657809,0.417956475845209,0.123,0.074,-0.143571990312216,0.113649328576062,0.055,0.067,-0.00896187845001914,0.307072699355101,0.0520520520520521,0.0970970970970971,-0.00615503984638546,0.0828648238599393,-0.296865480631101,0.382550803862007,-0.05062340356133,0.239203089037569,-0.877133399251212,1.49560443001313,-0.546908334392476,0.812583670262292,121,"small","large","medium"
"pb_no_orb_no_k_15_d0.20_su0.11_sv0.11_small","pb_no_orb_no_k_15_d0.20_su0.11_sv0.11","pb_no_orb_no",15,0.2,0.11,0.11,"small",0.124,0.071,-0.303585803061062,0.496759123962115,0.127,0.069,-0.159345640213472,0.133286835599335,0.05,0.064,-0.0076770367567589,0.334726018083056,0.0500500500500501,0.0920920920920921,-0.00651175765735762,0.0899957900973896,-0.325926898681884,0.460104636373824,-0.0528258069082077,0.257957717564146,-1.00217911763678,1.87164547045434,-0.56425975683706,0.855374383166268,124,"small","large","large"
"pb_no_orb_no_k_15_d0.20_su0.01_sv0.01_medium","pb_no_orb_no_k_15_d0.20_su0.01_sv0.01","pb_no_orb_no",15,0.2,0.01,0.01,"medium",0.0704225352112676,0.113682092555332,-0.0416733932494652,0.0467715045977237,0.0682046138415246,0.374122367101304,-0.0234168881331837,0.0130297440141875,0.054,0.152,-0.00246353798780025,0.0452511883901221,0.045,0.442,-0.00208224917978822,0.0124555220301204,-0.064042069899239,0.0365174777214332,-0.0323362199388454,0.0301872937104575,-0.211382250370919,0.150924568619568,-0.186563225183381,0.132604484751559,76,"small","small","small"
"pb_no_orb_no_k_15_d0.20_su0.01_sv0.06_medium","pb_no_orb_no_k_15_d0.20_su0.01_sv0.06","pb_no_orb_no",15,0.2,0.01,0.06,"medium",0.06,0.066,-0.0764453939091694,0.0774966533488258,0.067,0.193,-0.041300608526813,0.0216958904690716,0.042,0.095,-0.00952753585905741,0.0707190252314059,0.037,0.256,-0.00608335619818531,0.0197535387582375,-0.0961190042064596,0.0646994969622753,-0.0384271901503031,0.0505204421235145,-0.336323069394207,0.306752937399399,-0.281002331048086,0.246092426864801,60,"small","small","medium"
"pb_no_orb_no_k_15_d0.20_su0.01_sv0.11_medium","pb_no_orb_no_k_15_d0.20_su0.01_sv0.11","pb_no_orb_no",15,0.2,0.01,0.11,"medium",0.063,0.054,-0.106867041576887,0.109972837694428,0.064,0.115,-0.0570064696743668,0.0308620940585505,0.0370741482965932,0.0771543086172345,-0.0132568629456766,0.0960590266711137,0.035035035035035,0.185185185185185,-0.00891791444925483,0.0269428634171707,-0.12531757754569,0.0952966880271812,-0.043590528638559,0.070794403129844,-0.452648981932481,0.459064144275257,-0.371403727105923,0.355892484510801,63,"small","small","large"
"pb_no_orb_no_k_15_d0.20_su0.06_sv0.01_medium","pb_no_orb_no_k_15_d0.20_su0.06_sv0.01","pb_no_orb_no",15,0.2,0.06,0.01,"medium",0.0851703406813627,0.0671342685370741,-0.111196214250867,0.143364914979516,0.0890890890890891,0.128128128128128,-0.0586023561762667,0.0401397891656787,0.054,0.088,0.000406363679491317,0.132348138358861,0.057,0.178,-0.0013061119129659,0.0367274412158022,-0.132517774945477,0.124340584690035,-0.0374420561096176,0.095423024344385,-0.4910610874529,0.503715272653378,-0.410071377471189,0.383803532666072,87,"small","medium","small"
"pb_no_orb_no_k_15_d0.20_su0.06_sv0.06_medium","pb_no_orb_no_k_15_d0.20_su0.06_sv0.06","pb_no_orb_no",15,0.2,0.06,0.06,"medium",0.089,0.062,-0.144334860486508,0.180332701130812,0.089,0.104,-0.0758915691974432,0.0502727849291392,0.053,0.071,-0.00636487980787442,0.157053041418832,0.051,0.154,-0.00513472169862852,0.0436492242219755,-0.165503434311549,0.15899931018229,-0.0434049119535237,0.116436431396957,-0.573623167226389,0.636243921394361,-0.462148272931495,0.457315682642456,89,"small","medium","medium"
"pb_no_orb_no_k_15_d0.20_su0.06_sv0.11_medium","pb_no_orb_no_k_15_d0.20_su0.06_sv0.11","pb_no_orb_no",15,0.2,0.06,0.11,"medium",0.097,0.055,-0.171144438380092,0.217099645147062,0.096,0.086,-0.0898755482957848,0.0603893128359625,0.05,0.071,-0.0106444505791225,0.18186701599238,0.048,0.136,-0.00767312652130808,0.0505769704762164,-0.192257390339623,0.193765473970324,-0.0468579802853607,0.138230416808074,-0.64758408805256,0.772735152644201,-0.487009307078842,0.516030836148316,97,"small","medium","large"
"pb_no_orb_no_k_15_d0.20_su0.11_sv0.01_medium","pb_no_orb_no_k_15_d0.20_su0.11_sv0.01","pb_no_orb_no",15,0.2,0.11,0.01,"medium",0.0960960960960961,0.0680680680680681,-0.178566793341219,0.250718097767385,0.098,0.092,-0.0924254267387063,0.0696212599686706,0.059,0.077,0.00233459917297835,0.217616606992346,0.061,0.138,-0.000930038609194245,0.0602183165138477,-0.201274953923064,0.224479223625951,-0.0397776614602999,0.163436478841295,-0.693302770827807,0.878753937862846,-0.546037743037711,0.604463362315557,97,"small","large","small"
"pb_no_orb_no_k_15_d0.20_su0.11_sv0.06_medium","pb_no_orb_no_k_15_d0.20_su0.11_sv0.06","pb_no_orb_no",15,0.2,0.11,0.06,"medium",0.113,0.064,-0.213408210380839,0.297569012579178,0.111,0.082,-0.110847318703208,0.0822483061756943,0.061,0.073,-0.00439496878917761,0.242217455189375,0.056,0.116,-0.0047313861953279,0.0669569468444252,-0.235382189923068,0.268995917199924,-0.0441881773415729,0.185015901516007,-0.722123614726419,0.947939389768367,-0.508892545172875,0.565501629230601,113,"small","large","medium"
"pb_no_orb_no_k_15_d0.20_su0.11_sv0.11_medium","pb_no_orb_no_k_15_d0.20_su0.11_sv0.11","pb_no_orb_no",15,0.2,0.11,0.11,"medium",0.11,0.058,-0.238570009750588,0.340075662030241,0.117,0.072,-0.124157537731983,0.0938400232527141,0.058,0.067,-0.00863151540931542,0.26699463777937,0.057,0.113,-0.00723710372567032,0.0737395050635654,-0.259918616698813,0.310419450617107,-0.0481667022577979,0.206967928679613,-0.829864699968992,1.18588590947711,-0.543791518016766,0.656216640784073,110,"small","large","large"
"pb_no_orb_no_k_15_d0.20_su0.01_sv0.01_large","pb_no_orb_no_k_15_d0.20_su0.01_sv0.01","pb_no_orb_no",15,0.2,0.01,0.01,"large",0.075,0.154,-0.0438080936017422,0.0382425676301015,0.072,0.451,-0.0221926621814255,0.0103080076839975,0.052,0.177,-0.0126173373501386,0.0358081713965233,0.051,0.508,-0.00553292737596414,0.00960758613222541,-0.0644586718756026,0.0304319675210041,-0.038645334025032,0.0254881654389848,-0.264848337966717,0.149430696601946,-0.239788680501288,0.129769620648638,75,"small","small","small"
"pb_no_orb_no_k_15_d0.20_su0.01_sv0.06_large","pb_no_orb_no_k_15_d0.20_su0.01_sv0.06","pb_no_orb_no",15,0.2,0.01,0.06,"large",0.071,0.081,-0.0713064900701336,0.0668395676046879,0.0680680680680681,0.246246246246246,-0.0360262125288021,0.0183518506131508,0.041,0.108,-0.0132130153447725,0.0601083511484153,0.045,0.313,-0.00583063792398264,0.0164334162732671,-0.0910964221990627,0.0561522537036087,-0.0403417444349264,0.0442863468825476,-0.392301868416565,0.265855502043216,-0.344475362034507,0.21740866872816,71,"small","small","medium"
